,eid,citedby_count,publicationName,author_names,coverDate,coverYear,category
10,2-s2.0-84907148949,2.0,American Journal of Physiology - Cell Physiology,"Lima, Vanessa da Silva;Crajoinas, Renato O.;Carraro-Lacroix, Luciene R.;Godinho, Alana N.;Dias, João L.G.;Dariolli, Rafael;Girardi, Adriana C.C.;Fonteles, Manassés C.;Malnic, Gerhard;Lessa, Lucília M.A.",2014-01-01,2014,2.0
11,2-s2.0-84883941886,10.0,Seldin and Geibisch's The Kidney,"Malnic, Gerhard;Giebisch, Gerhard;Muto, Shigeaki;Wang, Wenhui;Bailey, Matthew A.;Satlin, Lisa M.",2013-08-29,2013,1.0
12,2-s2.0-84870727540,17.0,Kidney and Blood Pressure Research,"Queiroz-Leite, Gabriella D.;Crajoinas, Renato O.;Neri, Elida A.;Bezerra, Camila N.A.;Girardi, Adriana C.C.;Rebouças, Nancy Amaral;Malnic, Gerhard",2012-12-14,2012,1.0
13,2-s2.0-84869199654,16.0,American Journal of Physiology - Renal Physiology,"Lessa, Lucília M.A.;Carraro-Lacroix, Luciene R.;Crajoinas, Renato O.;Bezerra, Camila N.;Dariolli, Rafael;Girardi, Adriana C.C.;Fonteles, Manassés C.;Malnic, Gerhard",2012-11-15,2012,1.0
14,2-s2.0-84255168958,22.0,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,"Inoue, Bruna H.;dos Santos, Leonardo;Pessoa, Thaissa D.;Antonio, Ednei L.;Pacheco, Bruna P.M.;Savignano, Fernanda A.;Carraro-Lacroix, Luciene R.;Tucci, Paulo J.F.;Malnic, Gerhard;Girardi, Adriana C.C.",2012-01-01,2012,2.0
15,2-s2.0-79954474970,9.0,American Journal of Physiology - Renal Physiology,"Leite-Dellova, D. C A;Malnic, G.;Mello-Aires, M.",2011-03-01,2011,1.0
16,2-s2.0-84857211812,0.0,Estudos Avancados,"Malnic, Gerhard",2011-01-01,2011,1.0
17,2-s2.0-79961180020,113.0,American Journal of Physiology - Renal Physiology,"Crajoinas, Renato O.;Oricchio, Felipe T.;Pessoa, Thaissa D.;Pacheco, Bruna P.M.;Lessa, Lucília M.A.;Malnic, Gerhard;Girardi, Adriana C.C.",2011-01-01,2011,2.0
18,2-s2.0-79952279641,13.0,Journal of Nephrology,"Carraro-Lacroix, Luciene R.;Malnic, Gerhard",2010-12-01,2010,1.0
19,2-s2.0-77957973732,27.0,American Journal of Physiology - Renal Physiology,"Crajoinas, Renato O.;Lessa, Lucília M.A.;Carraro-Lacroix, Luciene R.;Davel, Ana Paula C.;Pacheco, Bruna P.M.;Rossoni, Luciana V.;Malnic, Gerhard;Girardi, Adriana C.C.",2010-10-01,2010,2.0
20,2-s2.0-78149452239,15.0,Cellular Physiology and Biochemistry,"Carraro-Lacroix, Luciene R.;Lessa, Lucília M.A.;Bezerra, Camila N.A.;Pessoa, Thaíssa D.;Souza-Menezes, Jackson;Morales, Marcelo M.;Girardi, Adriana C.C.;Malnic, Gerhard",2010-01-01,2010,1.0
21,2-s2.0-71449111050,68.0,American Journal of Physiology - Renal Physiology,"Carraro-Lacroix, Luciene R.;Malnic, Gerhard;Girardi, Adriana C.C.",2009-12-01,2009,2.0
22,2-s2.0-68449089929,9.0,Regulatory Peptides,"Lessa, L. M.A.;Amorim, J. B.O.;Fonteles, M. C.;Malnic, G.",2009-10-09,2009,1.0
23,2-s2.0-68149145736,19.0,Pflugers Archiv European Journal of Physiology,"Carraro-Lacroix, L. R.;Girardi, A. C.C.;Malnic, G.",2009-01-01,2009,1.0
24,2-s2.0-84882925234,9.0,Seldin and Giebisch's The Kidney,"Malnic, Gerhard;Muto, Shigeaki;Giebisch, Gerhard",2008-12-01,2008,1.0
25,2-s2.0-57349154022,24.0,American Journal of Physiology - Renal Physiology,"Leite-Dellova, D. C.A.;Oliveira-Souza, M.;Malnic, G.;Mello-Aires, M.",2008-11-01,2008,1.0
26,2-s2.0-38849093208,65.0,American Journal of Physiology - Renal Physiology,"Girardi, Adriana Castello Costa;Fukuda, Lívia Emy;Rossoni, Luciana Venturini;Malnic, Gerhard;Rebouças, Nancy Amaral",2008-02-01,2008,1.0
27,2-s2.0-37249016466,30.0,Pflugers Archiv European Journal of Physiology,"Beltrán, Ana Rosa;Ramírez, Marco Antonio;Carraro-Lacroix, Luciene R.;Hiraki, Yumi;Rebouças, Nancy Amaral;Malnic, Gerhard",2008-02-01,2008,1.0
28,2-s2.0-34248173417,8.0,Brazilian Journal of Medical and Biological Research,"Tararthuch, A. L.;Fernandez, R.;Malnic, G.",2007-05-01,2007,1.0
29,2-s2.0-33846957739,16.0,Canadian Journal of Physiology and Pharmacology,"Amorim, José Benedito Oliveira;Musa-Aziz, Raif;Lessa, Lucilia M.A.;Malnic, Gerhard;Fonteles, Menassés Claudino",2006-10-01,2006,2.0
30,2-s2.0-33748348616,13.0,Pflugers Archiv European Journal of Physiology,"Carraro-Lacroix, Luciene Regina;Malnic, Gerhard",2006-09-01,2006,1.0
31,2-s2.0-33745683633,123.0,Kidney International,"Bailey, M. A.;Cantone, A.;Yan, Q.;MacGregor, G. G.;Leng, Q.;Amorim, J. B.O.;Wang, T.;Hebert, S. C.;Giebisch, G.;Malnic, G.",2006-07-12,2006,1.0
32,2-s2.0-33745358863,29.0,American Journal of Physiology - Renal Physiology,"Carraro-Lacroix, Luciene Regina;Ramirez, Marco Antonio;Zorn, Telma M.T.;Rebouças, Nancy Amaral;Malnic, Gerhard",2006-06-30,2006,1.0
33,2-s2.0-0942268854,18.0,American Journal of Physiology - Renal Physiology,"Oliveira-Souza, Maria;Musa-Aziz, Raif;Malnic, Gerhard;De Mello Aires, Margarida",2004-02-01,2004,1.0
34,2-s2.0-3242809765,18.0,Kidney International,"Amorim, José B.O.;Musa-Aziz, Raif;Mello-Aires, Margarida;Malnic, Gerhard",2004-01-01,2004,1.0
35,2-s2.0-5644274017,9.0,Brazilian Journal of Medical and Biological Research,"Fernandez, R.;Piechnik, J.;Fabris, R.;Malnic, G.;Fernandes, L. C.",2004-01-01,2004,2.0
36,2-s2.0-0037301552,41.0,American Journal of Physiology - Renal Physiology,"Amorim, J. B.O.;Bailey, M. A.;Musa-Aziz, R.;Giebisch, G.;Malnic, G.",2003-02-01,2003,1.0
37,2-s2.0-0036265601,7.0,Journal of Nephrology,"De Mello-Aires, Margarida;Malnic, Gerhard",2002-01-01,2002,1.0
38,2-s2.0-0036405106,22.0,Kidney International,"Oliveira-Souza, Maria;Malnic, Gerhard;Mello-Aires, Margarida",2002-01-01,2002,1.0
39,2-s2.0-0036451917,5.0,Pflugers Archiv European Journal of Physiology,"Tararthuch, A. L.;Fernandez, R.;Ramirez, M. A.;Malnic, G.",2002-01-01,2002,1.0
40,2-s2.0-0036158115,61.0,Kidney International,"Schor, Nestor;Madias, Nicolaos E.;Malnic, Gerhard;Cendoroglo, Miguel;Luis, Y. U.;Da Rosa Santos, Omar;Burdmann, Emmanuel;Machado, David;Batista, Paulo Benigno",2002-01-01,2002,2.0
41,2-s2.0-0034835152,16.0,American Journal of Physiology - Gastrointestinal and Liver Physiology,"Toriano, R.;Kierbel, A.;Ramirez, M. A.;Malnic, G.;Parisi, M.",2001-10-01,2001,2.0
42,2-s2.0-36448953540,1.0,Annual Review of Biomedical Sciences,"Malnic, G.",2000-12-01,2000,1.0
43,2-s2.0-0034493251,13.0,Pflugers Archiv European Journal of Physiology,"Fernandez, R.;Oliveira-Souza, M.;Malnic, G.",2000-12-01,2000,1.0
44,2-s2.0-0034669718,25.0,Journal of Membrane Biology,"Malnic, G.;Geibel, J. P.",2000-11-15,2000,1.0
45,2-s2.0-0034665435,28.0,Journal of Membrane Biology,"Ramirez, M. A.;Toriano, R.;Parisi, M.;Malnic, G.",2000-09-15,2000,1.0
46,2-s2.0-0034042924,6.0,Journal of the American Society of Nephrology,"Malnic, Gerhard;Klose, Ruth M.;Giebisch, Gerhard",2000-07-01,2000,1.0
47,2-s2.0-0034043707,29.0,American Journal of Physiology - Renal Physiology,"Amorim, José B.O.;Malnic, Gerhard",2000-05-01,2000,1.0
48,2-s2.0-0033807185,26.0,Kidney International,"Girardi, A. C.C.;Titan, S. M.O.;Malnic, G.;Reboucas, N. A.",2000-01-01,2000,1.0
49,2-s2.0-0033191486,16.0,Pflugers Archiv European Journal of Physiology,"Ramirez, M.;Fernandez, R.;Malnic, G.",1999-01-01,1999,1.0
50,2-s2.0-0031711411,2.0,Experimental Nephrology,"Malnic, Gerhard",1998-10-07,1998,1.0
51,2-s2.0-0032524037,27.0,Journal of Membrane Biology,"Fernández, R.;Malnic, G.",1998-05-15,1998,1.0
52,2-s2.0-0030758664,9.0,Wiener Klinische Wochenschrift,"Malnic, Gerhard;Fernandez, Ricardo;Cassola, Antonio C.;Barreto-Chaves, Maria L.;De Souza, Maria O.;De Aires, Margarida Mello",1997-08-12,1997,1.0
53,2-s2.0-0030962407,26.0,Journal of Membrane Biology,"Fernández, R.;Bosqueiro, J. R.;Cassola, A. C.;Malnic, G.",1997-06-19,1997,1.0
54,2-s2.0-0030832797,12.0,Journal of the American Society of Nephrology,"De Santo, Natale G.;Capasso, Giovambattista;Malnic, Gerhard;Anastasio, Pietro;Spitali, Lucia;D'Angelo, Angela",1997-05-01,1997,2.0
55,2-s2.0-0030944281,5.0,Brazilian Journal of Medical and Biological Research,"Malnic, G.;Ansaldo, M.;Lantos, C. P.;Damasco, M. C.",1997-01-01,1997,1.0
56,2-s2.0-0029952914,14.0,Kidney and Blood Pressure Research,"Rebouças, Nancy A.;Malnic, Gerhard",1996-01-01,1996,1.0
57,2-s2.0-0029590295,5.0,Renal Physiology and Biochemistry,"Zaladek Gil, F.;Costa Silva, V. L.;Malnic, G.",1995-12-01,1995,1.0
58,2-s2.0-0028987919,4.0,The Journal of Membrane Biology,"Fernandez, R.;Malnic, G.",1995-02-01,1995,1.0
59,2-s2.0-0028418033,4.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Malnic, G.;Fernandez, R.;Lopes, M. J.",1994-01-01,1994,1.0
60,2-s2.0-0027968364,1.0,Renal Physiology and Biochemistry,"MacLaughlin, M.;Malnic, G.;de Mello Aires, M.",1994-01-01,1994,1.0
61,2-s2.0-0028342770,26.0,Kidney International,"Capasso, G.;Malnic, G.;Wang, T.;Giebisch, G.",1994-01-01,1994,2.0
62,2-s2.0-0028280101,30.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Fernandez, R.;Lopes, M. J.;De Lira, R. F.;Dantas, W. F.G.;Cragoe, E. J.;Malnic, G.",1994-01-01,1994,1.0
63,2-s2.0-0028002183,20.0,AM.J.PHYSIOL.,"Fernandez, R.;Lopes, M. J.;de Lira, R. F.;Dantas, W. F.G.;Cragoe Jnr, E. J.;Malnic, G.",1994-01-01,1994,1.0
64,2-s2.0-0027161321,2.0,The Journal of Physiology,"Melis, M. S.;Malnic, G.;Aires, M. M.",1993-06-01,1993,2.0
65,2-s2.0-0027622511,4.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Lopes, M. J.;Malnic, G.",1993-01-01,1993,1.0
66,2-s2.0-0027265132,69.0,Journal of Clinical Investigation,"Wang, T.;Malnic, G.;Giebisch, G.;Chan, Y. L.",1993-01-01,1993,2.0
67,2-s2.0-84939409123,1.0,Kidney and Blood Pressure Research,"Lacchini, Maria L.S.;Lopes, Anibal G.;Malnic, Gerhard;Giebisch, Gerhard",1992-01-01,1992,2.0
68,2-s2.0-0026509374,8.0,Renal Physiology and Biochemistry,"Lacchini, M. L.S.;Lopes, A. G.;Malnic, G.;Giebisch, G.",1992-01-01,1992,2.0
69,2-s2.0-0026486750,3.0,Clinical Science,"Zaladek Gil, F.;Costa Silva, V. L.;Cavanal, M. F.;Malnic, G.",1992-01-01,1992,1.0
70,2-s2.0-0026733396,5.0,Canadian Journal of Physiology and Pharmacology,"Ansaldo, M.;Damasco, M. C.;De Lavallaz, M. S.;Lantos, C. P.;Malnic, G.",1992-01-01,1992,1.0
71,2-s2.0-0026267168,4.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Zaladek-Gil, F.;Costa-Silva, V. L.;Malnic, G.",1991-01-01,1991,1.0
72,2-s2.0-0025766348,2.0,Clinical Science,"Zanetta Limongi, D. M.;Cassola, A. C.;Woronik, V.;Malnic, G.",1991-01-01,1991,1.0
73,2-s2.0-0025806336,3.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"DuBose, T. D.;Bidani, A.;Caflisch, C. R.;Gennari, F. J.;Maddox, D. A.;Deen, W. M.;De Mello Aires, M.;Malnic, G.",1991-01-01,1991,1.0
74,2-s2.0-0025043812,1.0,The Journal of Membrane Biology,"Malnic, G.;Lopes, A. G.;Cassola, A. C.;Berardi, A. L.;Aires, M. Mello;Giebisch, G.",1990-11-01,1990,1.0
75,2-s2.0-0025098568,11.0,The Journal of Physiology,"Jaramillo‐Juárez, F.;Aires, M. M.;Malnic, G.",1990-02-01,1990,1.0
76,2-s2.0-0025524681,8.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Vestri, S.;Malnic, G.",1990-01-01,1990,1.0
77,2-s2.0-0025469182,20.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"De Mello Aires, M.;Lopes, M. J.;Malnic, G.",1990-01-01,1990,1.0
78,2-s2.0-0025374504,9.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Malnic, G.;Berliner, R. W.;Giebisch, G.",1990-01-01,1990,1.0
79,2-s2.0-0024546364,30.0,Pflügers Archiv European Journal of Physiology,"Gil, F. Z.;Malnic, G.",1989-01-01,1989,1.0
80,2-s2.0-0024434291,28.0,Journal of Clinical Investigation,"Chan, Y. L.;Malnic, G.;Giebisch, G.",1989-01-01,1989,2.0
81,2-s2.0-0024347796,72.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Malnic, G.;Berliner, R. W.;Giebisch, G.",1989-01-01,1989,1.0
82,2-s2.0-0024309288,8.0,Canadian Journal of Physiology and Pharmacology,"Damasco, M. C.;Ansaldo, M.;Malnic, G.",1989-01-01,1989,1.0
83,2-s2.0-0024150529,2.0,Child Nephrology and Urology,"Malnic, G.",1988-12-01,1988,1.0
84,2-s2.0-0023801880,25.0,Pflügers Archiv European Journal of Physiology,"Whittembury, Guillermo;Malnic, Gerhard;Mello-Aires, Margarida;Amorena, Carlos",1988-10-01,1988,2.0
85,2-s2.0-0024257656,0.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Lopes, M. J.;Malnic, G.",1988-01-01,1988,1.0
86,2-s2.0-0023459392,0.0,Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia,"Malnic, G.;de Mello Aires, M.;Lopes, A. G.;Cassola, A. C.;Berardi, A. L.;Giebisch, G.",1987-12-01,1987,1.0
87,2-s2.0-0023377729,2.0,Kidney international,"Malnic, G.",1987-01-01,1987,1.0
88,2-s2.0-0023506712,5.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Rebouças, N. A.;Malnic, G.",1987-01-01,1987,1.0
89,2-s2.0-0023091120,9.0,Mineral and Electrolyte Metabolism,"Damasco, M. C.;Malnic, G.",1987-01-01,1987,1.0
90,2-s2.0-0023178415,52.0,Journal of Clinical Investigation,"Capasso, G.;Jaeger, P.;Giebisch, G.;Guckian, V.;Malnic, G.",1987-01-01,1987,1.0
91,2-s2.0-0022828957,38.0,Journal of Clinical Investigation,"Capasso, G.;Kinne, R.;Malnic, G.;Giebisch, G.",1986-12-01,1986,2.0
92,2-s2.0-0022361991,25.0,Renal Physiology,"MacLaughlin, M.;De Mello Aires, M.;Malnic, G.",1985-12-01,1985,1.0
93,2-s2.0-0022271952,0.0,The Journal of Physiology,"Lopes, A. G.;Malnic, G.;Rebouças, N. A.",1985-11-01,1985,1.0
94,2-s2.0-0022354380,9.0,Pflügers Archiv European Journal of Physiology,"Brisolla-Diuana, Antonio;Amorena, Carlos;Malnic, Gerhard",1985-10-01,1985,1.0
95,2-s2.0-84939691496,0.0,Kidney and Blood Pressure Research,"MacLaughlin, M.;De Mello Aires, M.;Malnic, G.",1985-01-01,1985,1.0
96,2-s2.0-0021664995,2.0,Medicina,"Malnic, G.;Rebouças, N. A.;Gil, F. Z.",1984-12-01,1984,1.0
97,2-s2.0-0021287067,17.0,The Journal of Physiology,"Amorena, C.;Fernandes, D. T.;Malnic, G.",1984-07-01,1984,1.0
98,2-s2.0-0021263955,7.0,Pflügers Archiv: European Journal of Physiology,"Rebouças, Nancy A.;Fernandes, Davi T.;Elias, Maria Monica;de Mello-Aires, Margarida;Malnic, Gerhard",1984-01-01,1984,1.0
99,2-s2.0-0020987287,1.0,Brazilian Journal of Medical and Biological Research,"Mello-Aires, M.;MacLaughlin, M. A.;Malnic, G.",1983-12-01,1983,1.0
100,2-s2.0-0020858609,10.0,The American journal of physiology,"Chan, Y. L.;Malnic, G.;Giebisch, G.",1983-11-01,1983,2.0
101,2-s2.0-0020639637,6.0,Pflügers Archiv European Journal of Physiology,"Amorena, C.;Malnic, G.",1983-09-01,1983,1.0
102,2-s2.0-0021043307,7.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Chan Yun Lai, ;Malnic, G.;Giebisch, G.",1983-01-01,1983,2.0
103,2-s2.0-0020323454,9.0,The Journal of Membrane Biology,"O'Regan, M. G.;Malnic, G.;Giebisch, G.",1982-06-01,1982,2.0
104,2-s2.0-0020069214,7.0,Pflügers Archiv European Journal of Physiology,"Rubio, C. R.;de Mello, G. B.;Mangili, O. C.;Malnic, G.",1982-03-01,1982,1.0
105,2-s2.0-0020030509,3.0,Pflügers Archiv European Journal of Physiology,"Rubio, C. R.;Mangili, O. C.;de Mello, G. B.;Malnic, G.",1982-03-01,1982,1.0
106,2-s2.0-0020427447,0.0,Experientia,"Lopes, A. G.;de Mello, G. B.;Malnic, G.",1982-01-01,1982,1.0
107,2-s2.0-0019849365,5.0,The Journal of Membrane Biology,"Costa Silva, V. L.;Campiglia, S. S.;de Mello Aires, M.;Malnic, G.;Giebisch, G.",1981-10-01,1981,2.0
108,2-s2.0-0019553787,4.0,Brazilian Journal of Medical and Biological Research,"Lopes, A. G.;de Mello-Aires, M.;Malnic, G.",1981-04-01,1981,1.0
109,2-s2.0-0019442316,0.0,Mineral and Electrolyte Metabolism,"Malnic, G.",1981-01-01,1981,1.0
110,2-s2.0-0019540878,0.0,Arquivos Brasileiros de Cardiologia,"Mac Laughlin, M.;De Mello Aires, M.;Malnic, G.",1981-01-01,1981,1.0
111,2-s2.0-0019273272,0.0,Acta Physiologica Latino-Americana,"Silva-Netto, C. R.;Antunes-Rodrigues, J.;Malnic, G.;Saad, W. A.;Camargo, L. A.",1980-12-01,1980,2.0
112,2-s2.0-0019068746,10.0,The American journal of physiology,"Malnic, G.",1980-10-01,1980,1.0
113,2-s2.0-0019257165,0.0,Acta Physiologica Latino-Americana,"Maclaughlin, M.;De Mello Aires, M.;Malnic, G.",1980-01-01,1980,1.0
114,2-s2.0-0019256796,0.0,Acta Physiologica Latino-Americana,"Catucci, M. R.;De Mello Aires, A.;Malnic, G.",1980-01-01,1980,1.0
115,2-s2.0-0019064148,10.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Silva-Netto, C. R.;De Mello Aires, M.;Malnic, G.",1980-01-01,1980,1.0
116,2-s2.0-0018987376,24.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"Garcia-Filho, E.;Malnic, G.;Giebisch, G.",1980-01-01,1980,2.0
117,2-s2.0-77957775888,1.0,Current Topics in Membranes and Transport,"Malnic, G.;Costa Silva, V. L.;Campiglia, S. S.;de Mello Aires, M.;Giebisch, G.",1980-01-01,1980,1.0
118,2-s2.0-0018600553,3.0,Arquivos Brasileiros de Cardiologia,"MacLaughlin, M.;De Mello Aires, M.;Malnic, G.",1979-12-01,1979,1.0
119,2-s2.0-0018474694,11.0,The American journal of physiology,"de Mello Aires, M.;Malnic, G.",1979-05-01,1979,1.0
120,2-s2.0-0018476262,5.0,Medical &amp; Biological Engineering &amp; Computing,"Malnic, G.;Silva Netto, C. R.;Stamopoulos, C. D.;de Mello Aires, M.",1979-05-01,1979,1.0
121,2-s2.0-0018367467,0.0,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,"De Mello Aires, M.;Malnic, G.",1979-01-01,1979,1.0
122,2-s2.0-0017622558,18.0,The Journal of Physiology,"Cassola, A. C.;Giebisch, G.;Malnic, G.",1977-06-01,1977,1.0
123,2-s2.0-0017755012,42.0,The Journal of Physiology,"Giebisch, G.;Malnic, G.;De Mello, G. B.;De Mello Aires, M.",1977-06-01,1977,1.0
124,2-s2.0-0017348009,9.0,Pflügers Archiv European Journal of Physiology,"Cassola, A. C.;Malnic, G.",1977-01-01,1977,1.0
125,2-s2.0-0017562350,0.0,Boletin de Estudios Medicos y Biologicos,"Silva-Netto, C. R.;Mello Aires, M.;Malnic, G.",1977-01-01,1977,1.0
126,2-s2.0-0017044142,2.0,Physiologist,"Giebisch, G.;Malnic, G.",1976-12-01,1976,1.0
127,2-s2.0-0017202635,6.0,The Journal of Physiology,"De Mello, G. B.;Lopes, A. G.;Malnic, G.",1976-09-01,1976,1.0
128,2-s2.0-0016959745,0.0,Journal of Physiology,"Cassola, C.;Giebisch, G.;Malnic, G.",1976-05-01,1976,1.0
129,2-s2.0-0017250881,7.0,Kidney International,"Malnic, G.;Steinmetz, P. R.",1976-01-01,1976,1.0
130,2-s2.0-0017082380,11.0,Pflügers Archiv European Journal of Physiology,"Garcia Filho, Edison Martins;Malnic, Gerhard",1976-01-01,1976,1.0
131,2-s2.0-0016583335,0.0,Acta Physiologica Latino-Americana,"Nogueira Silveira, J. E.;Cirne, B.;Malnic, G.",1975-12-01,1975,1.0
132,2-s2.0-0016593245,16.0,American Journal of Physiology,"De Mello Aires, M.;Malnic, G.",1975-01-01,1975,1.0
133,2-s2.0-0016377996,3.0,Advances in Experimental Medicine and Biology,"Malnic, G.;Aires, M. M.;Cassola, A. C.",1974-12-01,1974,1.0
134,2-s2.0-0016299008,0.0,Revista do Hospital das Clinicas de Faculdade de Medicina da Universidade de Sao Paulo,"Malnic, G.",1974-01-01,1974,1.0
135,2-s2.0-0015903013,24.0,The Journal of Physiology,"de Mello‐Aires, Margarida;Giebisch, Gerhard;Malnic, Gerhard;Curran, Peter F.",1973-07-01,1973,1.0
136,2-s2.0-0015700773,0.0,ALFRED BENZON SYMP.,"Giebisch, G.;Malnic, G.",1973-01-01,1973,1.0
137,2-s2.0-0015549434,15.0,Kidney international,"Rocha, A.;Marcondes, M.;Malnic, G.",1973-01-01,1973,1.0
138,2-s2.0-0015419799,52.0,The American journal of physiology,"Malnic, G.;Giebisch, G.",1972-10-01,1972,1.0
139,2-s2.0-0015278064,2.0,Pflügers Archiv European Journal of Physiology,"de Mello Aires, Margarida;Malnic, Gerhard",1972-09-01,1972,1.0
140,2-s2.0-0015278395,2.0,Pflügers Archiv European Journal of Physiology,"Malnic, G.;Mello-Aires, M.;de Mello, G. B.;Giebisch, G.",1972-09-01,1972,1.0
141,2-s2.0-0015493018,3.0,BBA - Biomembranes,"Cirne, Bario;Malnic, Gerhard",1972-07-03,1972,1.0
142,2-s2.0-0015350740,23.0,Yale Journal of Biology and Medicine,"Malnic, G.;Vieira, F. L.",1972-06-01,1972,1.0
143,2-s2.0-0015258461,4.0,Pflügers Archiv European Journal of Physiology,"de Mello Aires, Margarida;Malnic, Gerhard",1972-03-01,1972,1.0
144,2-s2.0-0015341338,22.0,Kidney international,"Malnic, G.;Giebisch, G.",1972-01-01,1972,1.0
145,2-s2.0-0015266407,53.0,The American journal of physiology,"Malnic, G.;De Mello Aires, M.;Giebisch, G.",1972-01-01,1972,1.0
146,2-s2.0-0015143706,61.0,The American journal of physiology,"Malnic, G.;De Mello Aires, M.;Giebisch, G.",1971-10-01,1971,1.0
147,2-s2.0-0015079609,52.0,The American journal of physiology,"Malnic, G.;de Mello-Aires, M.",1971-01-01,1971,1.0
148,2-s2.0-0014702862,7.0,The American journal of physiology,"Malnic, G.;Mello Aires, M.",1970-01-01,1970,1.0
149,2-s2.0-0014707958,16.0,The American journal of physiology,"Malnic, G.;Mello Aires, M.;Lacaz Vieira, F.",1970-01-01,1970,1.0
150,2-s2.0-0014449347,13.0,Pflügers Archiv European Journal of Physiology,"Malnic, G.;Enokibara, H.;Aires, M. Mello;Vieira, F. Lacaz",1969-03-01,1969,1.0
151,2-s2.0-0014276351,100.0,The American journal of physiology,"Vieira, F. L.;Malnic, G.",1968-01-01,1968,1.0
